year,color,mileage,motor,shasi,body,Insurance,price
۱۳۹۸,سفید,۷۵٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,۳۸۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۷,سفید,۷۳٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,۳۷۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۳,نقره‌ای,۳۰۰٬۰۰۰,سالم,سالم و پلمپ,تمام‌رنگ,۶ ماه,۱۳۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۹,سفید,۳۵٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,۴۱۹٬۰۰۰٬۰۰۰ تومان
۱۳۸۵,نقره‌ای,۲۹۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,۲۲۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۵,سفید,۱۴۰٬۰۰۰,سالم,,صافکاری بی‌رنگ,,۳۳۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۸,نقره‌ای,۲۷۰٬۰۰۰,سالم,سالم و پلمپ,تمام‌رنگ,۱۲ ماه,۱۸۹٬۰۰۰٬۰۰۰ تومان
۱۳۹۹,سفید,۳۶٬۹۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,۳۹۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۰,مشکی,۱۸۵٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,۲۳۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۲,سفید,۱۷۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۲۳۶٬۰۰۰٬۰۰۰ تومان
۱۳۹۹,سفید,۶۳٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,۴۲۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۹,نوک‌مدادی,۱۷۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۵ ماه,۲۶۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۶,نقره‌ای,۳۰۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۱۰ ماه,۲۱۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۰,سفید,۱۸۳٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,۲۹۲٬۰۰۰٬۰۰۰ تومان
۱۴۰۱,سفید,۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,۱۱۱٬۱۱۱٬۱۱۱ تومان
۱۳۹۶,سفید,۱۲۳٬۰۰۰,سالم,سالم و پلمپ,صافکاری بی‌رنگ,۲ ماه,۳۴۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۰,خاکستری,۱۹۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۲۷۰٬۰۰۰٬۰۰۰ تومان
